"loc_name","loc_id","t_reg","org_id","t_emp_active","t_uid_verify","t_uid_reject",
"CGO Complex Block 11 ","000034","1","000036","1","1","0",
"Church Road Hutments","000037","31","000036","28","30","0",
"DGCA Region IGI Airport","000064","1","000036","0","1","0",
"Hudco Vishala","000039","174","000036","165","165","1",
"IP Estate","000150","3","000036","0","1","0",
"Janpath Bhawan","000008","54","000036","11","54","0",
"Jeevan Deep Building","000009","16","000036","16","16","0",
"Lok Nayak Bhawan","000011","22","000036","0","22","0",
"NBCC Tower, Bhikaji Cama Place","000077","1","000036","0","1","0",
"North Block","000014","650","000036","626","630","1",
"Pushpa Bhavan","000073","16","000036","3","16","0",
"Samrat Hotel","000048","30","000036","28","30","0",
